Kopiér række for række ind i Admin → Indhold → Udstyr
Format: Titel | Gruppe | Mindste plan | Prompt

Glidecreme | Alm. sexlegetøj | Prøv | glidecreme; masser af, stop ved smerte
Kondom | Alm. sexlegetøj | Prøv | kondom; neutralt og uden skam
Precum-kondom | Alm. sexlegetøj | Solo | kondom til at samle precum; sluge kun efter tilladelse
Vibrator | Alm. sexlegetøj | Prøv | almindelig vibrator
Dildo | Alm. sexlegetøj | Prøv | dildo
Tynd plug | Alm. sexlegetøj | Solo | tynd plug; opvarmning
Plug | Alm. sexlegetøj | Solo | buttplug
Vinget plug | Alm. sexlegetøj | Solo | vinget plug til hverdag under tøj; stop ved smerte
Tryllestav / wand | Alm. sexlegetøj | Solo | wand udefra
Mini-vibrator | Alm. sexlegetøj | Plus | lille vibrator
Pikring | Alm. sexlegetøj | Plus | pikring som færdigt legetøj

Tyk plug | Avanceret sexlegetøj | Solo | tyk plug; kun hovedet først
Vibrator-plug | Avanceret sexlegetøj | Solo | vibrator-plug
Oppustelig plug | Avanceret sexlegetøj | Plus | oppustelig plug som færdigt legetøj
Tunnel-plug | Avanceret sexlegetøj | Plus | tunnel-plug som færdigt legetøj
Prostata-legetøj | Avanceret sexlegetøj | Plus | prostata som voksen fiktion; ingen medicinske løfter
Strap-on | Avanceret sexlegetøj | Solo | sele med dildo; Fruens pik i legen
Sleeve | Avanceret sexlegetøj | Solo | sleeve om pikken
Milking-sleeve | Avanceret sexlegetøj | Plus | milking som voksenleg
Pumpe | Avanceret sexlegetøj | Plus | færdig vakuumpumpe; ingen medicinske løfter
Fjernbetjent vibrator | Avanceret sexlegetøj | Plus | fjernbetjent; kun privat eller helt skjult
Sexmaskine | Avanceret sexlegetøj | Plus | færdig sexmaskine; ingen DIY
E-stim | Avanceret sexlegetøj | Solo | færdigt e-stim; aldrig DIY eller stikkontakt
Brystklemmer e-stim | Avanceret sexlegetøj | Plus | færdigt e-stim til vorter; aldrig DIY

Nive vorter | Fetish sexlegetøj | Prøv | nive og rulle vorter med fingre; stop ved stikkende smerte
Patterklemme | Fetish sexlegetøj | Plus | færdige vorteklemmer; korte intervaller; tag af ved følelsesløshed
Pincet-klemmer | Fetish sexlegetøj | Plus | justerbare vorteklemmer
Kæde-klemmer | Fetish sexlegetøj | Plus | klemmer med kæde; let træk, ikke ryk
Sugekopper | Fetish sexlegetøj | Plus | sugekopper til vorter
Vibrator til vorter | Fetish sexlegetøj | Plus | lille vibrator på vorter
Is | Fetish sexlegetøj | Plus | is udefra og kort; ikke inde i kroppen
Bløde manchetter | Fetish sexlegetøj | Solo | bløde, aftalte manchetter; ingen farlig binding-how-to
Bind for øjnene | Fetish sexlegetøj | Solo | bind
Bur til pikken | Fetish sexlegetøj | Solo | kyskhed i legen; ingen rigtig lås ude i byen
Halsbånd | Fetish sexlegetøj | Solo | halsbånd
Blød bid | Fetish sexlegetøj | Plus | blød, aftalt bid
Blød hætte | Fetish sexlegetøj | Plus | blød hætte; aldrig åndedrætsbegrænsning

Latexhandsker | Læge / undersøgelse | Prøv | handsker; klinisk berøring
Nitrilhandsker | Læge / undersøgelse | Solo | nitrilhandsker
Stetoskop | Læge / undersøgelse | Solo | stetoskop som rekvisit; ingen diagnose
Klinik-gelé | Læge / undersøgelse | Prøv | sterilt look, almindelig glid
Penlight | Læge / undersøgelse | Solo | lille lampe til inspicering i legen
Afdækning | Læge / undersøgelse | Solo | klæde over skød; blottes når Fruen siger
Benstøtter / stol | Læge / undersøgelse | Plus | gynstol i fantasi
Spekulum (legetøj) | Læge / undersøgelse | Plus | voksen legetøjs-spekulum; ingen medicinsk brug
Journal / clipboard | Læge / undersøgelse | Prøv | rapport: tændt, plug, precum
Mundbind | Læge / undersøgelse | Solo | klinisk look
Lange handsker | Læge / undersøgelse | Plus | lange handsker til undersøgelse
Blød probe | Læge / undersøgelse | Plus | færdigt legetøj formet som probe

Trusser | Lingeri | Plus |
Blonde-trusser | Lingeri | Solo |
Snøre-trusser | Lingeri | Plus |
Åbne trusser | Lingeri | Plus |
BH | Lingeri | Prøv |
G-streng | Lingeri | Prøv |
Stay-ups | Lingeri | Solo |
Strømper | Lingeri | Plus |
Hofteholder | Lingeri | Solo |
Bodystocking | Lingeri | Plus |
Babydoll | Lingeri | Solo |
Natkjole | Lingeri | Solo |
Korset | Lingeri | Solo |
Silikonebryster | Lingeri | Plus |
Læbestift | Lingeri | Plus |

Sissy-kjole | Udklædning | Plus | voksen sissy-kjole, 25+
Paryk | Udklædning | Plus | paryk
Maid-outfit (voksen) | Udklædning | Plus | maid på tydeligt voksen figur; aldrig schoolgirl
Høje hæle | Udklædning | Plus | hæle
Latex | Udklædning | Plus | latex
Læder | Udklædning | Plus | læder
Åben kittel | Udklædning | Solo | hvid kittel over lingeri
Sygeplejerske-uniform (voksen) | Udklædning | Plus | voksen uniform; aldrig skole
